NAME_2,year,kind,area_ha,area_m2
Barranquilla,2020,gain,1.3,13000.0
Soledad,2020,gain,73.4,734000.0
Malambo,2020,gain,97.3,973000.0
Galapa,2020,gain,22.5,225000.0
Puerto Colombia,2020,gain,77.3,773000.0
Sabanalarga,2020,gain,28.5,285000.0
Baranoa,2020,gain,44.7,447000.0
Polonuevo,2020,gain,40.8,408000.0
Santo Tomás,2020,gain,37.3,373000.0
Palmar de Varela,2020,gain,18.9,189000.0
Barranquilla,2020,loss,3.1,31000.0
Soledad,2020,loss,35.1,351000.0
Malambo,2020,loss,25.6,256000.0
Galapa,2020,loss,23.5,235000.0
Puerto Colombia,2020,loss,84.9,849000.0
Sabanalarga,2020,loss,81.5,815000.0
Baranoa,2020,loss,85.9,859000.0
Polonuevo,2020,loss,57.7,577000.0
Santo Tomás,2020,loss,18.2,182000.0
Palmar de Varela,2020,loss,61.0,610000.0
Barranquilla,2021,gain,16.8,168000.0
Soledad,2021,gain,38.3,383000.0
Malambo,2021,gain,11.7,117000.0
Galapa,2021,gain,85.1,851000.0
Puerto Colombia,2021,gain,67.0,670000.0
Sabanalarga,2021,gain,59.2,592000.0
Baranoa,2021,gain,69.6,696000.0
Polonuevo,2021,gain,12.8,128000.0
Santo Tomás,2021,gain,13.3,133000.0
Palmar de Varela,2021,gain,92.7,927000.0
Barranquilla,2021,loss,12.7,127000.0
Soledad,2021,loss,78.8,788000.0
Malambo,2021,loss,7.8,78000.0
Galapa,2021,loss,90.0,900000.0
Puerto Colombia,2021,loss,75.0,750000.0
Sabanalarga,2021,loss,62.6,626000.0
Baranoa,2021,loss,79.8,798000.0
Polonuevo,2021,loss,13.4,134000.0
Santo Tomás,2021,loss,38.6,386000.0
Palmar de Varela,2021,loss,79.3,793000.0
Barranquilla,2022,gain,76.7,767000.0
Soledad,2022,gain,36.5,365000.0
Malambo,2022,gain,66.6,666000.0
Galapa,2022,gain,87.1,871000.0
Puerto Colombia,2022,gain,91.2,912000.0
Sabanalarga,2022,gain,31.5,315000.0
Baranoa,2022,gain,74.1,741000.0
Polonuevo,2022,gain,4.1,41000.0
Santo Tomás,2022,gain,10.5,105000.0
Palmar de Varela,2022,gain,60.2,602000.0
Barranquilla,2022,loss,70.5,705000.0
Soledad,2022,loss,82.2,822000.0
Malambo,2022,loss,30.1,301000.0
Galapa,2022,loss,91.8,918000.0
Puerto Colombia,2022,loss,70.0,700000.0
Sabanalarga,2022,loss,35.1,351000.0
Baranoa,2022,loss,76.4,764000.0
Polonuevo,2022,loss,8.7,87000.0
Santo Tomás,2022,loss,9.9,99000.0
Palmar de Varela,2022,loss,32.8,328000.0
Barranquilla,2023,gain,2.4,24000.0
Soledad,2023,gain,27.3,273000.0
Malambo,2023,gain,43.9,439000.0
Galapa,2023,gain,59.8,598000.0
Puerto Colombia,2023,gain,71.2,712000.0
Sabanalarga,2023,gain,87.6,876000.0
Baranoa,2023,gain,94.2,942000.0
Polonuevo,2023,gain,59.5,595000.0
Santo Tomás,2023,gain,78.4,784000.0
Palmar de Varela,2023,gain,53.1,531000.0
Barranquilla,2023,loss,12.3,123000.0
Soledad,2023,loss,24.7,247000.0
Malambo,2023,loss,46.0,460000.0
Galapa,2023,loss,12.9,129000.0
Puerto Colombia,2023,loss,80.5,805000.0
Sabanalarga,2023,loss,1.4,14000.0
Baranoa,2023,loss,30.4,304000.0
Polonuevo,2023,loss,82.6,826000.0
Santo Tomás,2023,loss,93.5,935000.0
Palmar de Varela,2023,loss,13.8,138000.0
Barranquilla,2024,gain,21.4,214000.0
Soledad,2024,gain,1.5,15000.0
Malambo,2024,gain,88.5,885000.0
Galapa,2024,gain,18.4,184000.0
Puerto Colombia,2024,gain,91.8,918000.0
Sabanalarga,2024,gain,0.9,9000.0
Baranoa,2024,gain,79.1,791000.0
Polonuevo,2024,gain,9.7,97000.0
Santo Tomás,2024,gain,71.2,712000.0
Palmar de Varela,2024,gain,70.9,709000.0
Barranquilla,2024,loss,53.6,536000.0
Soledad,2024,loss,49.1,491000.0
Malambo,2024,loss,63.1,631000.0
Galapa,2024,loss,45.6,456000.0
Puerto Colombia,2024,loss,97.6,976000.0
Sabanalarga,2024,loss,5.8,58000.0
Baranoa,2024,loss,66.1,661000.0
Polonuevo,2024,loss,98.3,983000.0
Santo Tomás,2024,loss,52.6,526000.0
Palmar de Varela,2024,loss,83.0,830000.0
Barranquilla,2025,gain,73.3,733000.0
Soledad,2025,gain,34.6,346000.0
Malambo,2025,gain,36.7,367000.0
Galapa,2025,gain,36.5,365000.0
Puerto Colombia,2025,gain,80.8,808000.0
Sabanalarga,2025,gain,48.3,483000.0
Baranoa,2025,gain,32.0,320000.0
Polonuevo,2025,gain,28.5,285000.0
Santo Tomás,2025,gain,40.8,408000.0
Palmar de Varela,2025,gain,78.0,780000.0
Barranquilla,2025,loss,73.0,730000.0
Soledad,2025,loss,65.3,653000.0
Malambo,2025,loss,21.6,216000.0
Galapa,2025,loss,67.8,678000.0
Puerto Colombia,2025,loss,38.9,389000.0
Sabanalarga,2025,loss,87.2,872000.0
Baranoa,2025,loss,42.5,425000.0
Polonuevo,2025,loss,84.4,844000.0
Santo Tomás,2025,loss,61.3,613000.0
Palmar de Varela,2025,loss,32.0,320000.0
