NAME_2,year,kind,area_ha,area_m2
Barranquilla,2020,gain,16.5,165000.0
Soledad,2020,gain,98.3,983000.0
Malambo,2020,gain,31.2,312000.0
Puerto Colombia,2020,gain,3.7,37000.0
Sabanalarga,2020,gain,32.1,321000.0
Baranoa,2020,gain,46.9,469000.0
Polonuevo,2020,gain,28.9,289000.0
Santo Tomás,2020,gain,76.5,765000.0
Palmar de Varela,2020,gain,29.5,295000.0
Barranquilla,2020,loss,94.2,942000.0
Soledad,2020,loss,87.7,877000.0
Malambo,2020,loss,1.6,16000.0
Galapa,2020,loss,46.0,460000.0
Puerto Colombia,2020,loss,38.3,383000.0
Sabanalarga,2020,loss,40.7,407000.0
Baranoa,2020,loss,90.2,902000.0
Polonuevo,2020,loss,42.9,429000.0
Santo Tomás,2020,loss,39.0,390000.0
Palmar de Varela,2020,loss,28.6,286000.0
Barranquilla,2021,gain,63.2,632000.0
Soledad,2021,gain,13.0,130000.0
Malambo,2021,gain,24.9,249000.0
Galapa,2021,gain,93.9,939000.0
Puerto Colombia,2021,gain,45.5,455000.0
Sabanalarga,2021,gain,53.1,531000.0
Baranoa,2021,gain,61.1,611000.0
Polonuevo,2021,gain,6.6,66000.0
Santo Tomás,2021,gain,34.6,346000.0
Palmar de Varela,2021,gain,64.8,648000.0
Barranquilla,2021,loss,69.6,696000.0
Soledad,2021,loss,63.4,634000.0
Malambo,2021,loss,31.8,318000.0
Galapa,2021,loss,70.0,700000.0
Puerto Colombia,2021,loss,52.3,523000.0
Sabanalarga,2021,loss,1.7,17000.0
Baranoa,2021,loss,59.8,598000.0
Polonuevo,2021,loss,97.2,972000.0
Santo Tomás,2021,loss,20.1,201000.0
Palmar de Varela,2021,loss,39.3,393000.0
Barranquilla,2022,gain,65.5,655000.0
Soledad,2022,gain,91.4,914000.0
Malambo,2022,gain,20.3,203000.0
Galapa,2022,gain,90.4,904000.0
Puerto Colombia,2022,gain,41.4,414000.0
Sabanalarga,2022,gain,65.8,658000.0
Baranoa,2022,gain,35.1,351000.0
Polonuevo,2022,gain,5.2,52000.0
Santo Tomás,2022,gain,94.4,944000.0
Palmar de Varela,2022,gain,95.5,955000.0
Barranquilla,2022,loss,24.8,248000.0
Soledad,2022,loss,31.6,316000.0
Malambo,2022,loss,75.7,757000.0
Galapa,2022,loss,4.2,42000.0
Puerto Colombia,2022,loss,61.7,617000.0
Sabanalarga,2022,loss,3.9,39000.0
Baranoa,2022,loss,68.4,684000.0
Polonuevo,2022,loss,85.4,854000.0
Santo Tomás,2022,loss,28.8,288000.0
Palmar de Varela,2022,loss,43.5,435000.0
Barranquilla,2023,gain,73.7,737000.0
Soledad,2023,gain,95.4,954000.0
Malambo,2023,gain,37.1,371000.0
Galapa,2023,gain,1.6,16000.0
Puerto Colombia,2023,gain,92.9,929000.0
Sabanalarga,2023,gain,19.8,198000.0
Baranoa,2023,gain,11.5,115000.0
Polonuevo,2023,gain,35.9,359000.0
Santo Tomás,2023,gain,29.0,290000.0
Palmar de Varela,2023,gain,60.3,603000.0
Barranquilla,2023,loss,23.7,237000.0
Soledad,2023,loss,1.6,16000.0
Malambo,2023,loss,69.5,695000.0
Galapa,2023,loss,83.2,832000.0
Puerto Colombia,2023,loss,43.6,436000.0
Sabanalarga,2023,loss,97.2,972000.0
Baranoa,2023,loss,64.7,647000.0
Polonuevo,2023,loss,66.9,669000.0
Santo Tomás,2023,loss,30.9,309000.0
Palmar de Varela,2023,loss,68.4,684000.0
Barranquilla,2024,gain,30.8,308000.0
Soledad,2024,gain,29.4,294000.0
Malambo,2024,gain,66.7,667000.0
Galapa,2024,gain,75.8,758000.0
Puerto Colombia,2024,gain,91.9,919000.0
Sabanalarga,2024,gain,19.5,195000.0
Baranoa,2024,gain,12.4,124000.0
Polonuevo,2024,gain,50.9,509000.0
Santo Tomás,2024,gain,34.8,348000.0
Palmar de Varela,2024,gain,91.8,918000.0
Barranquilla,2024,loss,71.2,712000.0
Soledad,2024,loss,3.1,31000.0
Malambo,2024,loss,36.0,360000.0
Galapa,2024,loss,75.4,754000.0
Puerto Colombia,2024,loss,52.1,521000.0
Sabanalarga,2024,loss,66.7,667000.0
Baranoa,2024,loss,45.8,458000.0
Polonuevo,2024,loss,56.5,565000.0
Santo Tomás,2024,loss,53.4,534000.0
Palmar de Varela,2024,loss,41.3,413000.0
Barranquilla,2025,gain,12.1,121000.0
Soledad,2025,gain,19.2,192000.0
Malambo,2025,gain,37.2,372000.0
Galapa,2025,gain,97.7,977000.0
Puerto Colombia,2025,gain,52.3,523000.0
Sabanalarga,2025,gain,83.3,833000.0
Baranoa,2025,gain,69.8,698000.0
Polonuevo,2025,gain,30.7,307000.0
Santo Tomás,2025,gain,16.1,161000.0
Palmar de Varela,2025,gain,24.6,246000.0
Barranquilla,2025,loss,65.3,653000.0
Soledad,2025,loss,88.8,888000.0
Malambo,2025,loss,12.8,128000.0
Galapa,2025,loss,55.6,556000.0
Puerto Colombia,2025,loss,50.4,504000.0
Sabanalarga,2025,loss,59.7,597000.0
Baranoa,2025,loss,75.1,751000.0
Polonuevo,2025,loss,51.3,513000.0
Santo Tomás,2025,loss,88.2,882000.0
Palmar de Varela,2025,loss,26.9,269000.0
